insectary_id,total_trials,total_trials_melp_court_only,total_trials_cydno_court_only,total_trials_court_both,Type,geno1,geno17,geno18
13047,4,0,3,0,CPx(CPxMP),A,A,A
13049,5,0,1,2,CPx(CPxMP),A,B,A
13050,5,0,2,2,CPx(CPxMP),A,A,B
13051,5,1,3,0,CPx(CPxMP),B,A,A
13057,5,1,1,1,CPx(CPxMP),B,A,A
13149,4,0,0,0,CPx(CPxMP),B,B,B
13170,5,0,4,0,CPx(CPxMP),A,A,A
13171,5,1,0,3,CPx(CPxMP),B,B,B
13176,5,1,2,1,CPx(CPxMP),B,B,B
13177,5,3,0,1,CPx(CPxMP),B,A,B
13181,5,0,0,3,CPx(CPxMP),B,B,A
13182,5,1,1,2,CPx(CPxMP),B,B,B
13183,5,1,1,0,CPx(CPxMP),B,B,B
13185,5,2,0,0,CPx(CPxMP),B,A,A
13186,5,0,1,0,CPx(CPxMP),A,A,B
13187,5,0,1,3,CPx(CPxMP),A,A,A
13189,5,1,2,2,CPx(CPxMP),B,A,A
13190,5,0,3,1,CPx(CPxMP),B,A,A
13193,5,0,1,1,CPx(CPxMP),A,B,B
13194,5,0,0,0,CPx(CPxMP),A,B,A
13202,5,2,0,2,CPx(CPxMP),B,B,B
13206,5,1,2,2,CPx(CPxMP),B,B,B
13207,5,1,0,2,CPx(CPxMP),B,B,B
13214,5,0,1,1,CPx(CPxMP),A,A,A
13223,5,1,0,1,CPx(CPxMP),B,B,B
13224,5,3,1,0,CPx(CPxMP),B,B,B
13225,5,2,0,0,CPx(CPxMP),B,B,B
13226,4,1,0,2,CPx(CPxMP),A,B,A
13227,5,0,2,0,CPx(CPxMP),A,B,A
13228,5,0,3,0,CPx(CPxMP),A,B,A
13229,5,0,2,1,CPx(CPxMP),B,B,A
13249,5,1,2,2,CPx(CPxMP),A,B,B
13266,5,1,0,1,CPx(CPxMP),B,B,A
13268,5,1,2,0,CPx(CPxMP),A,B,A
13277,5,0,2,2,CPx(CPxMP),A,A,B
13279,5,0,2,1,CPx(CPxMP),A,A,B
13282,5,1,0,3,CPx(CPxMP),A,B,A
13283,5,1,1,0,CPx(CPxMP),B,A,B
13284,5,0,3,0,CPx(CPxMP),A,A,B
13288,6,1,0,2,CPx(CPxMP),A,B,B
13289,4,1,0,2,CPx(CPxMP),B,B,B
13290,5,2,2,0,CPx(CPxMP),B,B,A
13291,5,3,2,0,CPx(CPxMP),B,A,B
13292,5,0,1,3,CPx(CPxMP),A,A,A
13293,5,0,1,3,CPx(CPxMP),A,A,A
13294,5,1,2,1,CPx(CPxMP),B,A,A
13299,5,1,1,1,CPx(CPxMP),A,A,B
13305,4,0,1,0,CPx(CPxMP),B,A,B
13307,4,0,0,3,CPx(CPxMP),B,B,A
13308,6,0,1,2,CPx(CPxMP),B,B,A
13309,5,0,0,1,CPx(CPxMP),B,A,A
13310,5,0,1,2,CPx(CPxMP),B,A,A
